id,color_side,color_top,WKT,lon,lat
1135708417,浅蓝,浅蓝,"Polygon ((24.91324636 60.14939452, 24.91327528 60.14942125, 24.9134363 60.14956978, 24.91374525 60.14961764, 24.91377744 60.14956098, 24.91413476 60.14961739, 24.91428488 60.14964103, 24.91425177 60.14969509, 24.91429536 60.14970163, 24.91432662 60.14965167, 24.91437172 60.14964078, 24.91439577 60.14963466, 24.91445202 60.14962007, 24.91451312 60.14967883, 24.91452008 60.14967724, 24.9145433 60.14967154, 24.91454925 60.1496702, 24.91448848 60.14961094, 24.91466517 60.14956718, 24.91476433 60.14958185, 24.91477707 60.14955905, 24.91467523 60.1495438, 24.91471554 60.14947616, 24.91481973 60.14930148, 24.91492836 60.14931724, 24.9150266 60.14915136, 24.91485393 60.14899713, 24.9148256 60.14897173, 24.914808 60.14898188, 24.91436149 60.14923945, 24.91426032 60.14928103, 24.91417709 60.14930927, 24.91407718 60.14932813, 24.91394608 60.14934129, 24.91326899 60.14939284, 24.91324636 60.14939452))",24.914267082888454,60.14939003337761
23463093,灰色,灰色,"Polygon ((24.9761326 60.16835857, 24.97621524 60.16837978, 24.97630929 60.16828917, 24.97632345 60.16827542, 24.97624072 60.16825422, 24.97619563 60.16829772, 24.97616562 60.16832664, 24.9761326 60.16835857))",24.976228023571533,60.16831699071692
280089509,灰色,绿色,"MultiPolygon (((24.94221508 60.18965666, 24.94230886 60.18969106, 24.94220378 60.18976185, 24.94211 60.18972745, 24.94221508 60.18965666)))",24.942209430000005,60.18970926
282416702,灰色,白色,"MultiPolygon (((24.96856772 60.19484974, 24.9689396 60.194817, 24.96893013 60.19479041, 24.96910325 60.19477516, 24.96911043 60.19479529, 24.9693768 60.19477184, 24.96940767 60.19485844, 24.96914391 60.19488167, 24.96914898 60.19489589, 24.96860135 60.1949441, 24.96856772 60.19484974)))",24.96898392838081,60.19485503886201
281423404,灰色,黄色,"MultiPolygon (((24.95246512 60.18811716, 24.95246851 60.18806521, 24.95251271 60.18806592, 24.95252152 60.18793139, 24.95266486 60.1879337, 24.95265259 60.18812152, 24.95271154 60.18812247, 24.95271267 60.18810516, 24.95286807 60.18810766, 24.9528578 60.18826485, 24.95271848 60.1882626, 24.95272152 60.18821598, 24.95278047 60.18821693, 24.95278247 60.18818629, 24.95266726 60.18818443, 24.95266482 60.18822173, 24.95209143 60.18821247, 24.95209674 60.18813122, 24.95215301 60.18813212, 24.95215431 60.18811214, 24.95246512 60.18811716)))",24.95252332245015,60.18813373843722
280106001,灰色,白色,"MultiPolygon (((24.94382576 60.1730464, 24.94401843 60.17305103, 24.94402095 60.17302509, 24.94419602 60.17302929, 24.94418542 60.17313843, 24.94381769 60.17312961, 24.94382576 60.1730464)))",24.94401872465415,60.173085664152985
282240666,灰色,灰色,"MultiPolygon (((24.95545971 60.16286308, 24.95542776 60.16287667, 24.95540259 60.16286202, 24.95534776 60.16288534, 24.95523118 60.16281749, 24.95527827 60.16279746, 24.95527827 60.16279746, 24.95531796 60.16278058, 24.95545971 60.16286308)))",24.95534009763499,60.16283513894925
281361412,绿色,黑色,"MultiPolygon (((24.90661138 60.15325785, 24.90673018 60.15328496, 24.9066184 60.15340629, 24.90649962 60.15337918, 24.90661138 60.15325785)))",24.90661489660347,60.153332068663644
282838295,灰色,深灰色,"MultiPolygon (((24.94224258 60.15363601, 24.94222204 60.15362782, 24.94219978 60.15364163, 24.94217461 60.15363158, 24.94216152 60.15363971, 24.94213539 60.15362929, 24.94215765 60.15361547, 24.94217956 60.15362421, 24.94220443 60.15360878, 24.94219721 60.1536059, 24.94220507 60.15360102, 24.94215024 60.15357914, 24.94219547 60.15355106, 24.94220459 60.1535547, 24.94221433 60.15354865, 24.94229338 60.1535802, 24.94228553 60.15358507, 24.94230934 60.15359457, 24.94224258 60.15363601)))",24.942223443886746,60.15359563424269
318154144,灰色,深灰色,"Polygon ((24.96110468 60.15669817, 24.96128582 60.15672885, 24.96130124 60.15670639, 24.96132965 60.15671116, 24.96138196 60.15663455, 24.96122128 60.1566074, 24.96117308 60.15667789, 24.96112413 60.15666959, 24.96110468 60.15669817))",24.9612554423181,60.156670091444646
